Macro-attribut;Chemin;Cas de test ;R‚sultat;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.identifiant_unique_civilite]=ega!cbe69c3a-7f6a-2b35-60bd-cecb97f67569&instance=VALEUR_REFERENCE;00001;OK;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.identifiant_unique_civilite]=neg!cbe69c3a-7f6a-2b35-60bd-cecb97f67569&instance=VALEUR_REFERENCE;00002;OK;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.id_metier]=ega!MME&instance=VALEUR_REFERENCE;00003;OK;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.id_metier]=neg!MME&instance=VALEUR_REFERENCE;00004;KO;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.id_metier]=com!MME&instance=VALEUR_REFERENCE;00005;OK;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.id_metier]=nco!MME&instance=VALEUR_REFERENCE;00006;KO;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.id_metier]=con!MME&instance=VALEUR_REFERENCE;00007;OK;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.id_metier]=ncn!MME&instance=VALEUR_REFERENCE;00008;KO;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.id_metier]=ter!MME&instance=VALEUR_REFERENCE;00009;OK;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.id_metier]=nte!MME&instance=VALEUR_REFERENCE;00010;KO;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&sort=civilite.id_metier&instance=VALEUR_REFERENCE;00011;KO;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&sort=-civilite.id_metier&instance=VALEUR_REFERENCE;00012;KO;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.libelle]=ega!Madame&instance=VALEUR_REFERENCE;00013;OK;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.libelle]=neg!Madame&instance=VALEUR_REFERENCE;00014;KO;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.libelle]=com!Mad&instance=VALEUR_REFERENCE;00015;OK;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.libelle]=nco!Mad&instance=VALEUR_REFERENCE;00016;KO;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.libelle]=con!dam&instance=VALEUR_REFERENCE;00017;OK;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.libelle]=ncn!dam&instance=VALEUR_REFERENCE;00018;KO;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.libelle]=ter!ame&instance=VALEUR_REFERENCE;00019;KO;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.libelle]=nte!ame&instance=VALEUR_REFERENCE;00020;KO;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&sort=civilite.libelle&instance=VALEUR_REFERENCE;00021;KO;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&sort=-civilite.libelle&instance=VALEUR_REFERENCE;00022;KO;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.actif]=ega!true&instance=VALEUR_REFERENCE;00023;KO;;;;;;
