expression_reference, true_count, false_count, expression_string, file_name
00003,0,1936,idMetier ega MME,testCodification/Codification_resultat_00002.json,
00004,1936,0,idMetier neg MME,testCodification/Codification_resultat_00002.json,
00005,0,1936,idMetier com MME,testCodification/Codification_resultat_00002.json,
00006,1936,0,idMetier nco MME,testCodification/Codification_resultat_00002.json,
00003,1,0,idMetier ega MME,testCodification/Codification_resultat_00003.json,
00004,0,1,idMetier neg MME,testCodification/Codification_resultat_00003.json,
00005,1,0,idMetier com MME,testCodification/Codification_resultat_00003.json,
00006,0,1,idMetier nco MME,testCodification/Codification_resultat_00003.json,
00003,0,1936,idMetier ega MME,testCodification/Codification_resultat_00004.json,
00004,1936,0,idMetier neg MME,testCodification/Codification_resultat_00004.json,
00005,0,1936,idMetier com MME,testCodification/Codification_resultat_00004.json,
00006,1936,0,idMetier nco MME,testCodification/Codification_resultat_00004.json,
00003,1,0,idMetier ega MME,testCodification/Codification_resultat_00005.json,
00004,0,1,idMetier neg MME,testCodification/Codification_resultat_00005.json,
00005,1,0,idMetier com MME,testCodification/Codification_resultat_00005.json,
00006,0,1,idMetier nco MME,testCodification/Codification_resultat_00005.json,
00003,0,1936,idMetier ega MME,testCodification/Codification_resultat_00006.json,
00004,1936,0,idMetier neg MME,testCodification/Codification_resultat_00006.json,
00005,0,1936,idMetier com MME,testCodification/Codification_resultat_00006.json,
00006,1936,0,idMetier nco MME,testCodification/Codification_resultat_00006.json,
00003,1,2,idMetier ega MME,testCodification/Codification_resultat_00007.json,
00004,2,1,idMetier neg MME,testCodification/Codification_resultat_00007.json,
00005,1,2,idMetier com MME,testCodification/Codification_resultat_00007.json,
00006,2,1,idMetier nco MME,testCodification/Codification_resultat_00007.json,
00003,0,1934,idMetier ega MME,testCodification/Codification_resultat_00008.json,
00004,1934,0,idMetier neg MME,testCodification/Codification_resultat_00008.json,
00005,0,1934,idMetier com MME,testCodification/Codification_resultat_00008.json,
00006,1934,0,idMetier nco MME,testCodification/Codification_resultat_00008.json,
00003,1,1,idMetier ega MME,testCodification/Codification_resultat_00009.json,
00004,1,1,idMetier neg MME,testCodification/Codification_resultat_00009.json,
00005,1,1,idMetier com MME,testCodification/Codification_resultat_00009.json,
00006,1,1,idMetier nco MME,testCodification/Codification_resultat_00009.json,
00003,0,1935,idMetier ega MME,testCodification/Codification_resultat_00010.json,
00004,1935,0,idMetier neg MME,testCodification/Codification_resultat_00010.json,
00005,0,1935,idMetier com MME,testCodification/Codification_resultat_00010.json,
00006,1935,0,idMetier nco MME,testCodification/Codification_resultat_00010.json,
00003,1,1936,idMetier ega MME,testCodification/Codification_resultat_00011.json,
00004,1936,1,idMetier neg MME,testCodification/Codification_resultat_00011.json,
00005,1,1936,idMetier com MME,testCodification/Codification_resultat_00011.json,
00006,1936,1,idMetier nco MME,testCodification/Codification_resultat_00011.json,
00003,1,1936,idMetier ega MME,testCodification/Codification_resultat_00012.json,
00004,1936,1,idMetier neg MME,testCodification/Codification_resultat_00012.json,
00005,1,1936,idMetier com MME,testCodification/Codification_resultat_00012.json,
00006,1936,1,idMetier nco MME,testCodification/Codification_resultat_00012.json,
00003,1,0,idMetier ega MME,testCodification/Codification_resultat_00013.json,
00004,0,1,idMetier neg MME,testCodification/Codification_resultat_00013.json,
00005,1,0,idMetier com MME,testCodification/Codification_resultat_00013.json,
00006,0,1,idMetier nco MME,testCodification/Codification_resultat_00013.json,
00003,0,1936,idMetier ega MME,testCodification/Codification_resultat_00014.json,
00004,1936,0,idMetier neg MME,testCodification/Codification_resultat_00014.json,
00005,0,1936,idMetier com MME,testCodification/Codification_resultat_00014.json,
00006,1936,0,idMetier nco MME,testCodification/Codification_resultat_00014.json,
00003,1,1,idMetier ega MME,testCodification/Codification_resultat_00015.json,
00004,1,1,idMetier neg MME,testCodification/Codification_resultat_00015.json,
00005,1,1,idMetier com MME,testCodification/Codification_resultat_00015.json,
00006,1,1,idMetier nco MME,testCodification/Codification_resultat_00015.json,
00003,0,1935,idMetier ega MME,testCodification/Codification_resultat_00016.json,
00004,1935,0,idMetier neg MME,testCodification/Codification_resultat_00016.json,
00005,0,1935,idMetier com MME,testCodification/Codification_resultat_00016.json,
00006,1935,0,idMetier nco MME,testCodification/Codification_resultat_00016.json,
00003,1,0,idMetier ega MME,testCodification/Codification_resultat_00017.json,
00004,0,1,idMetier neg MME,testCodification/Codification_resultat_00017.json,
00005,1,0,idMetier com MME,testCodification/Codification_resultat_00017.json,
00006,0,1,idMetier nco MME,testCodification/Codification_resultat_00017.json,
00003,0,1936,idMetier ega MME,testCodification/Codification_resultat_00018.json,
00004,1936,0,idMetier neg MME,testCodification/Codification_resultat_00018.json,
00005,0,1936,idMetier com MME,testCodification/Codification_resultat_00018.json,
00006,1936,0,idMetier nco MME,testCodification/Codification_resultat_00018.json,
00003,1,3,idMetier ega MME,testCodification/Codification_resultat_00019.json,
00004,3,1,idMetier neg MME,testCodification/Codification_resultat_00019.json,
00005,1,3,idMetier com MME,testCodification/Codification_resultat_00019.json,
00006,3,1,idMetier nco MME,testCodification/Codification_resultat_00019.json,
00003,0,1933,idMetier ega MME,testCodification/Codification_resultat_00020.json,
00004,1933,0,idMetier neg MME,testCodification/Codification_resultat_00020.json,
00005,0,1933,idMetier com MME,testCodification/Codification_resultat_00020.json,
00006,1933,0,idMetier nco MME,testCodification/Codification_resultat_00020.json,
00003,1,1936,idMetier ega MME,testCodification/Codification_resultat_00021.json,
00004,1936,1,idMetier neg MME,testCodification/Codification_resultat_00021.json,
00005,1,1936,idMetier com MME,testCodification/Codification_resultat_00021.json,
00006,1936,1,idMetier nco MME,testCodification/Codification_resultat_00021.json,
00003,1,1936,idMetier ega MME,testCodification/Codification_resultat_00022.json,
00004,1936,1,idMetier neg MME,testCodification/Codification_resultat_00022.json,
00005,1,1936,idMetier com MME,testCodification/Codification_resultat_00022.json,
00006,1936,1,idMetier nco MME,testCodification/Codification_resultat_00022.json,
00003,1,1935,idMetier ega MME,testCodification/Codification_resultat_00023.json,
00004,1935,1,idMetier neg MME,testCodification/Codification_resultat_00023.json,
00005,1,1935,idMetier com MME,testCodification/Codification_resultat_00023.json,
00006,1935,1,idMetier nco MME,testCodification/Codification_resultat_00023.json,
00003,1,1935,idMetier ega MME,testCodification/Codification_resultat_00024.json,
00004,1935,1,idMetier neg MME,testCodification/Codification_resultat_00024.json,
00005,1,1935,idMetier com MME,testCodification/Codification_resultat_00024.json,
00006,1935,1,idMetier nco MME,testCodification/Codification_resultat_00024.json,
00003,0,1,idMetier ega MME,testCodification/Codification_resultat_00025.json,
00004,1,0,idMetier neg MME,testCodification/Codification_resultat_00025.json,
00005,0,1,idMetier com MME,testCodification/Codification_resultat_00025.json,
00006,1,0,idMetier nco MME,testCodification/Codification_resultat_00025.json,
00003,0,1,idMetier ega MME,testCodification/Codification_resultat_00026.json,
00004,1,0,idMetier neg MME,testCodification/Codification_resultat_00026.json,
00005,0,1,idMetier com MME,testCodification/Codification_resultat_00026.json,
00006,1,0,idMetier nco MME,testCodification/Codification_resultat_00026.json,
00003,1,1936,idMetier ega MME,testCodification/Codification_resultat_00028.json,
00004,1936,1,idMetier neg MME,testCodification/Codification_resultat_00028.json,
